player_name,position,salary,team,game_info,projection,slate_type
Josh Allen,QB,7200,BUF,BUF@MIA 1:00PM ET,23.2,main_slate
Lamar Jackson,QB,6800,BAL,BAL@CIN 1:00PM ET,21.8,main_slate
Patrick Mahomes,QB,7000,KC,KC@DEN 4:25PM ET,21.5,main_slate
Dak Prescott,QB,6400,DAL,DAL@NYG 1:00PM ET,19.8,main_slate
Tua Tagovailoa,QB,5800,MIA,MIA@BUF 1:00PM ET,18.9,main_slate
Russell Wilson,QB,5600,PIT,PIT@CLE 1:00PM ET,17.2,main_slate
Kyler Murray,QB,5900,ARI,ARI@SEA 4:25PM ET,18.5,main_slate
Geno Smith,QB,5200,SEA,SEA@ARI 4:25PM ET,16.4,main_slate
Christian McCaffrey,RB,7200,SF,SF@LAR 4:25PM ET,20.1,main_slate
Saquon Barkley,RB,6600,NYG,NYG@DAL 1:00PM ET,17.8,main_slate
Josh Jacobs,RB,6000,LV,LV@KC 4:25PM ET,16.2,main_slate
Aaron Jones,RB,5400,MIN,MIN@GB 1:00PM ET,14.9,main_slate
Derrick Henry,RB,5800,BAL,BAL@CIN 1:00PM ET,16.8,main_slate
Tony Pollard,RB,4800,DAL,DAL@NYG 1:00PM ET,13.2,main_slate
Najee Harris,RB,4400,PIT,PIT@CLE 1:00PM ET,12.8,main_slate
Austin Ekeler,RB,4000,LAC,LAC@LV 4:25PM ET,12.1,main_slate
Stefon Diggs,WR,6200,BUF,BUF@MIA 1:00PM ET,15.2,main_slate
Davante Adams,WR,5800,LV,LV@KC 4:25PM ET,14.8,main_slate
Tyreek Hill,WR,5600,MIA,MIA@BUF 1:00PM ET,14.5,main_slate
Mike Evans,WR,5200,TB,TB@NO 1:00PM ET,13.9,main_slate
Chris Godwin,WR,4800,TB,TB@NO 1:00PM ET,12.8,main_slate
CeeDee Lamb,WR,5400,DAL,DAL@NYG 1:00PM ET,14.2,main_slate
A.J. Brown,WR,5000,PHI,PHI@WAS 1:00PM ET,13.6,main_slate
DK Metcalf,WR,4600,SEA,SEA@ARI 4:25PM ET,12.9,main_slate
Travis Kelce,TE,5400,KC,KC@DEN 4:25PM ET,12.8,main_slate
Mark Andrews,TE,4600,BAL,BAL@CIN 1:00PM ET,10.2,main_slate
T.J. Hockenson,TE,4000,MIN,MIN@GB 1:00PM ET,9.8,main_slate
Kyle Pitts,TE,3600,ATL,ATL@CAR 1:00PM ET,8.9,main_slate
George Kittle,TE,4200,SF,SF@LAR 4:25PM ET,10.5,main_slate
Darren Waller,TE,3400,NYG,NYG@DAL 1:00PM ET,8.2,main_slate
Dallas Goedert,TE,3200,PHI,PHI@WAS 1:00PM ET,7.8,main_slate
Pat Freiermuth,TE,3000,PIT,PIT@CLE 1:00PM ET,7.2,main_slate
Bills DST,DST,2400,BUF,BUF@MIA 1:00PM ET,9.2,main_slate
Ravens DST,DST,2200,BAL,BAL@CIN 1:00PM ET,8.8,main_slate
49ers DST,DST,2000,SF,SF@LAR 4:25PM ET,8.1,main_slate
Cowboys DST,DST,1800,DAL,DAL@NYG 1:00PM ET,7.5,main_slate
Steelers DST,DST,1600,PIT,PIT@CLE 1:00PM ET,7.0,main_slate
Eagles DST,DST,1800,PHI,PHI@WAS 1:00PM ET,7.2,main_slate
Seahawks DST,DST,1600,SEA,SEA@ARI 4:25PM ET,6.8,main_slate
Chiefs DST,DST,1700,KC,KC@DEN 4:25PM ET,7.1,main_slate
