player_name,position,team,flex_salary,cpt_salary,projection,game_info
Saquon Barkley,RB,PHI,11200,16800,24.94,DAL@PHI 09/04/2025 08:20PM ET
Jalen Hurts,QB,PHI,11000,16500,22.4,DAL@PHI 09/04/2025 08:20PM ET
CeeDee Lamb,WR,DAL,10800,16200,18.23,DAL@PHI 09/04/2025 08:20PM ET
A.J. Brown,WR,PHI,9400,14100,16.01,DAL@PHI 09/04/2025 08:20PM ET
Dak Prescott,QB,DAL,9000,13500,16.44,DAL@PHI 09/04/2025 08:20PM ET
DeVonta Smith,WR,PHI,8400,12600,14.49,DAL@PHI 09/04/2025 08:20PM ET
George Pickens,WR,DAL,8000,12000,12.74,DAL@PHI 09/04/2025 08:20PM ET
Tanner McKee,QB,PHI,7000,10500,14.41,DAL@PHI 09/04/2025 08:20PM ET
Joe Milton III,QB,DAL,7000,10500,20.24,DAL@PHI 09/04/2025 08:20PM ET
Dallas Goedert,TE,PHI,6400,9600,10.89,DAL@PHI 09/04/2025 08:20PM ET
Dorian Thompson-Robinson,QB,PHI,6000,9000,3.26,DAL@PHI 09/04/2025 08:20PM ET
Kyle McCord,QB,PHI,6000,9000,0.0,DAL@PHI 09/04/2025 08:20PM ET
Will Grier,QB,DAL,6000,9000,0.0,DAL@PHI 09/04/2025 08:20PM ET
Javonte Williams,RB,DAL,5400,8100,9.23,DAL@PHI 09/04/2025 08:20PM ET
Jake Ferguson,TE,DAL,5200,7800,7.6,DAL@PHI 09/04/2025 08:20PM ET
Jaydon Blue,RB,DAL,5000,7500,0.0,DAL@PHI 09/04/2025 08:20PM ET
Brandon Aubrey,K,DAL,4800,7200,11.29,DAL@PHI 09/04/2025 08:20PM ET
Eagles ,DST,PHI,4600,6900,8.9,DAL@PHI 09/04/2025 08:20PM ET
Jake Elliott,K,PHI,4400,6600,9.0,DAL@PHI 09/04/2025 08:20PM ET
Miles Sanders,RB,DAL,4000,6000,7.03,DAL@PHI 09/04/2025 08:20PM ET
Cowboys ,DST,DAL,3600,5400,6.53,DAL@PHI 09/04/2025 08:20PM ET
Jalen Tolbert,WR,DAL,3400,5100,8.94,DAL@PHI 09/04/2025 08:20PM ET
