Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (39560042),Saquon Barkley,39560042,CPT,16800,DAL@PHI 09/04/2025 08:20PM ET,PHI,24.94
QB,Jalen Hurts (39560043),Jalen Hurts,39560043,CPT,16500,DAL@PHI 09/04/2025 08:20PM ET,PHI,22.40
WR,CeeDee Lamb (39560044),CeeDee Lamb,39560044,CPT,16200,DAL@PHI 09/04/2025 08:20PM ET,DAL,18.23
WR,A.J. Brown (39560045),A.J. Brown,39560045,CPT,14100,DAL@PHI 09/04/2025 08:20PM ET,PHI,16.01
QB,Dak Prescott (39560046),Dak Prescott,39560046,CPT,13500,DAL@PHI 09/04/2025 08:20PM ET,DAL,16.44
WR,DeVonta Smith (39560047),DeVonta Smith,39560047,CPT,12600,DAL@PHI 09/04/2025 08:20PM ET,PHI,14.49
WR,George Pickens (39560048),George Pickens,39560048,CPT,12000,DAL@PHI 09/04/2025 08:20PM ET,DAL,12.74
RB,Saquon Barkley (39559980),Saquon Barkley,39559980,FLEX,11200,DAL@PHI 09/04/2025 08:20PM ET,PHI,24.94
QB,Jalen Hurts (39559981),Jalen Hurts,39559981,FLEX,11000,DAL@PHI 09/04/2025 08:20PM ET,PHI,22.40
WR,CeeDee Lamb (39559982),CeeDee Lamb,39559982,FLEX,10800,DAL@PHI 09/04/2025 08:20PM ET,DAL,18.23
QB,Tanner McKee (39560049),Tanner McKee,39560049,CPT,10500,DAL@PHI 09/04/2025 08:20PM ET,PHI,14.41
QB,Joe Milton III (39560050),Joe Milton III,39560050,CPT,10500,DAL@PHI 09/04/2025 08:20PM ET,DAL,20.24
TE,Dallas Goedert (39560051),Dallas Goedert,39560051,CPT,9600,DAL@PHI 09/04/2025 08:20PM ET,PHI,10.89
WR,A.J. Brown (39559983),A.J. Brown,39559983,FLEX,9400,DAL@PHI 09/04/2025 08:20PM ET,PHI,16.01
QB,Dak Prescott (39559984),Dak Prescott,39559984,FLEX,9000,DAL@PHI 09/04/2025 08:20PM ET,DAL,16.44
QB,Dorian Thompson-Robinson (39560052),Dorian Thompson-Robinson,39560052,CPT,9000,DAL@PHI 09/04/2025 08:20PM ET,PHI,3.26
QB,Kyle McCord (39560053),Kyle McCord,39560053,CPT,9000,DAL@PHI 09/04/2025 08:20PM ET,PHI,0
QB,Will Grier (39560054),Will Grier,39560054,CPT,9000,DAL@PHI 09/04/2025 08:20PM ET,DAL,0
